geo_point,commune,code_INSEE,service,DEP,REG
"41.9228,8.7058",Ajaccio,2A004,Préfecture de région,"",94
"43.6007,1.4328",Toulouse,31555,Préfecture de région,"",76
"44.8624,-0.5848",Bordeaux,33063,Préfecture de région,"",75
"48.1159,-1.6884",Rennes,35238,Préfecture de région,"",53
"47.2382,-1.5603",Nantes,44109,Préfecture de région,"",52
"47.8734,1.9122",Orléans,45234,Préfecture de région,"",24
"50.6311,3.0468",Lille,59350,Préfecture de région,"",32
"48.5691,7.7621",Strasbourg,67482,Préfecture de région,"",44
"45.758,4.8351",Lyon,69123,Préfecture de région,"",84
"48.8589,2.347",Paris,75056,Préfecture de région,"",11
"49.4412,1.0912",Rouen,76540,Préfecture de région,"",28
"15.9992,-61.7294",Basse-Terre,97105,Préfecture de région,"",01
"14.6492,-61.0686",Fort-de-France,97209,Préfecture de région,"",02
"4.9464,-52.3319",Cayenne,97302,Préfecture de région,"",03
"-20.9434,55.4444",Saint-Denis,97411,Préfecture de région,"",04
"-12.7875,45.1964",Mamoudzou,97611,Préfecture de région,"",06
