Code géographique de la commune,Libellé géographique de la commune,Code géographique de l'aire d'attraction des villes 2020,Libellé géographique de l'aire d'attraction des villes 2020,Catégorie de la commune dans le zonage en aires d'attraction des villes 2020,Code département,Code région
1001,L'Abergement-Clémenciat,524,Châtillon-sur-Chalaronne,20,1,84
1002,L'Abergement-de-Varey,0,Commune hors attraction des villes,30,1,84
1004,Ambérieu-en-Bugey,243,Ambérieu-en-Bugey,11,1,84
1005,Ambérieux-en-Dombes,2,Lyon,20,1,84
1006,Ambléon,286,Belley,20,1,84
1007,Ambronay,243,Ambérieu-en-Bugey,20,1,84
1008,Ambutrix,243,Ambérieu-en-Bugey,20,1,84
1009,Andert-et-Condon,286,Belley,20,1,84
1010,Anglefort,0,Commune hors attraction des villes,30,1,84
1011,Apremont,168,Oyonnax,20,1,84
1012,Aranc,572,Plateau d'Hauteville,20,1,84
1013,Arandas,243,Ambérieu-en-Bugey,20,1,84
1014,Arbent,168,Oyonnax,20,1,84
1015,Arboys en Bugey,286,Belley,20,1,84
1016,Arbigny,84,Mâcon,20,1,84
1017,Argis,0,Commune hors attraction des villes,30,1,84
1019,Armix,0,Commune hors attraction des villes,30,1,84
1021,Ars-sur-Formans,2,Lyon,20,1,84
1022,Artemare,286,Belley,20,1,84
1023,Asnières-sur-Saône,84,Mâcon,20,1,84
1024,Attignat,80,Bourg-en-Bresse,20,1,84
1025,Bâgé-Dommartin,84,Mâcon,20,1,84
1026,Bâgé-le-Châtel,84,Mâcon,20,1,84
1027,Balan,2,Lyon,20,1,84
1028,Baneins,0,Commune hors attraction des villes,30,1,84
1029,Beaupont,80,Bourg-en-Bresse,20,1,84
1030,Beauregard,2,Lyon,20,1,84
1031,Bellignat,168,Oyonnax,12,1,84
1032,Béligneux,2,Lyon,20,1,84
1033,Valserhône,GEN,Genève - Annemasse (partie française),20,1,84
1034,Belley,286,Belley,11,1,84
1035,Belleydoux,168,Oyonnax,20,1,84
1036,Valromey-sur-Séran,286,Belley,20,1,84
1037,Bénonces,0,Commune hors attraction des villes,30,1,84
1038,Bény,80,Bourg-en-Bresse,20,1,84
1039,Béon,652,Culoz,20,1,84
1040,Béréziat,80,Bourg-en-Bresse,20,1,84
1041,Bettant,243,Ambérieu-en-Bugey,20,1,84
1042,Bey,84,Mâcon,20,1,84
1043,Beynost,2,Lyon,20,1,84
1044,Billiat,GEN,Genève - Annemasse (partie française),20,1,84
1045,Birieux,2,Lyon,20,1,84
1046,Biziat,0,Commune hors attraction des villes,30,1,84
1047,Blyes,2,Lyon,20,1,84
1049,La Boisse,2,Lyon,20,1,84
1050,Boissey,84,Mâcon,20,1,84
1051,Bolozon,0,Commune hors attraction des villes,30,1,84
1052,Bouligneux,2,Lyon,20,1,84
1053,Bourg-en-Bresse,80,Bourg-en-Bresse,11,1,84
1054,Bourg-Saint-Christophe,2,Lyon,20,1,84
1056,Boyeux-Saint-Jérôme,0,Commune hors attraction des villes,30,1,84
1057,Boz,84,Mâcon,20,1,84
1058,Brégnier-Cordon,0,Commune hors attraction des villes,30,1,84
1060,Brénod,572,Plateau d'Hauteville,20,1,84
1061,Brens,286,Belley,20,1,84
1062,Bressolles,2,Lyon,20,1,84
1063,Brion,168,Oyonnax,20,1,84
1064,Briord,0,Commune hors attraction des villes,30,1,84
1065,Buellas,80,Bourg-en-Bresse,20,1,84
1066,La Burbanche,286,Belley,20,1,84
1067,Ceignes,0,Commune hors attraction des villes,30,1,84
1068,Cerdon,0,Commune hors attraction des villes,30,1,84
1069,Certines,80,Bourg-en-Bresse,20,1,84
1071,Cessy,GEN,Genève - Annemasse (partie française),20,1,84
1072,Ceyzériat,80,Bourg-en-Bresse,20,1,84
1073,Ceyzérieu,286,Belley,20,1,84
1074,Chalamont,2,Lyon,20,1,84
1075,Chaleins,2,Lyon,20,1,84
1076,Chaley,0,Commune hors attraction des villes,30,1,84
1077,Challes-la-Montagne,0,Commune hors attraction des villes,30,1,84
1078,Challex,GEN,Genève - Annemasse (partie française),20,1,84
1079,Champagne-en-Valromey,0,Commune hors attraction des villes,30,1,84
1080,Champdor-Corcelles,572,Plateau d'Hauteville,20,1,84
1081,Champfromier,0,Commune hors attraction des villes,30,1,84
1082,Chanay,GEN,Genève - Annemasse (partie française),20,1,84
1083,Chaneins,0,Commune hors attraction des villes,30,1,84
1084,Chanoz-Châtenay,80,Bourg-en-Bresse,20,1,84
1085,La Chapelle-du-Châtelard,2,Lyon,20,1,84
1087,Charix,168,Oyonnax,20,1,84
1088,Charnoz-sur-Ain,2,Lyon,20,1,84
1089,Château-Gaillard,2,Lyon,20,1,84
1090,Châtenay,0,Commune hors attraction des villes,30,1,84
1092,Châtillon-la-Palud,2,Lyon,20,1,84
1093,Châtillon-sur-Chalaronne,524,Châtillon-sur-Chalaronne,11,1,84
1094,Chavannes-sur-Reyssouze,84,Mâcon,20,1,84
1095,Nivigne et Suran,80,Bourg-en-Bresse,20,1,84
1096,Chaveyriat,80,Bourg-en-Bresse,20,1,84
1098,Chazey-Bons,286,Belley,20,1,84
1099,Chazey-sur-Ain,2,Lyon,20,1,84
1100,Cheignieu-la-Balme,286,Belley,20,1,84
1101,Chevillard,0,Commune hors attraction des villes,30,1,84
