Code géographique de la commune,Libellé géographique de la commune,Code géographique de l'aire d'attraction des villes 2020,Libellé géographique de l'aire d'attraction des villes 2020,Catégorie de la commune dans le zonage en aires d'attraction des villes 2020,Code département,Code région
1102,Chevroux,84,Mâcon,20,1,84
1103,Chevry,GEN,Genève - Annemasse (partie française),20,1,84
1104,Chézery-Forens,0,Commune hors attraction des villes,30,1,84
1105,Civrieux,2,Lyon,20,1,84
1106,Cize,80,Bourg-en-Bresse,20,1,84
1107,Cleyzieu,243,Ambérieu-en-Bugey,20,1,84
1108,Coligny,80,Bourg-en-Bresse,20,1,84
1109,Collonges,GEN,Genève - Annemasse (partie française),20,1,84
1110,Colomieu,286,Belley,20,1,84
1111,Conand,243,Ambérieu-en-Bugey,20,1,84
1112,Condamine,0,Commune hors attraction des villes,30,1,84
1113,Condeissiat,80,Bourg-en-Bresse,20,1,84
1114,Confort,GEN,Genève - Annemasse (partie française),20,1,84
1115,Confrançon,80,Bourg-en-Bresse,20,1,84
1116,Contrevoz,286,Belley,20,1,84
1117,Conzieu,286,Belley,20,1,84
1118,Corbonod,0,Commune hors attraction des villes,30,1,84
1121,Corlier,572,Plateau d'Hauteville,20,1,84
1123,Cormoranche-sur-Saône,84,Mâcon,20,1,84
1124,Cormoz,80,Bourg-en-Bresse,20,1,84
1125,Corveissiat,168,Oyonnax,20,1,84
1127,Courmangoux,80,Bourg-en-Bresse,20,1,84
1128,Courtes,0,Commune hors attraction des villes,30,1,84
1129,Crans,2,Lyon,20,1,84
1130,Bresse Vallons,80,Bourg-en-Bresse,20,1,84
1133,Cressin-Rochefort,286,Belley,20,1,84
1134,Crottet,84,Mâcon,20,1,84
1135,Crozet,GEN,Genève - Annemasse (partie française),20,1,84
1136,Cruzilles-lès-Mépillat,84,Mâcon,20,1,84
1138,Culoz,652,Culoz,11,1,84
1139,Curciat-Dongalon,80,Bourg-en-Bresse,20,1,84
1140,Curtafond,80,Bourg-en-Bresse,20,1,84
1141,Cuzieu,286,Belley,20,1,84
1142,Dagneux,2,Lyon,20,1,84
1143,Divonne-les-Bains,GEN,Genève - Annemasse (partie française),20,1,84
1145,Dompierre-sur-Veyle,80,Bourg-en-Bresse,20,1,84
1146,Dompierre-sur-Chalaronne,524,Châtillon-sur-Chalaronne,20,1,84
1147,Domsure,80,Bourg-en-Bresse,20,1,84
1148,Dortan,168,Oyonnax,20,1,84
1149,Douvres,243,Ambérieu-en-Bugey,20,1,84
1150,Drom,80,Bourg-en-Bresse,20,1,84
1151,Druillat,80,Bourg-en-Bresse,20,1,84
1152,Échallon,168,Oyonnax,20,1,84
1153,Échenevex,GEN,Genève - Annemasse (partie française),20,1,84
1155,Évosges,572,Plateau d'Hauteville,20,1,84
1156,Faramans,2,Lyon,20,1,84
1157,Fareins,2,Lyon,20,1,84
1158,Farges,GEN,Genève - Annemasse (partie française),20,1,84
1159,Feillens,84,Mâcon,20,1,84
1160,Ferney-Voltaire,GEN,Genève - Annemasse (partie française),20,1,84
1162,Flaxieu,286,Belley,20,1,84
1163,Foissiat,80,Bourg-en-Bresse,20,1,84
1165,Francheleins,0,Commune hors attraction des villes,30,1,84
1166,Frans,2,Lyon,20,1,84
1167,Garnerans,84,Mâcon,20,1,84
1169,Genouilleux,0,Commune hors attraction des villes,30,1,84
1170,Béard-Géovreissiat,168,Oyonnax,20,1,84
1171,Géovreisset,168,Oyonnax,20,1,84
1173,Gex,GEN,Genève - Annemasse (partie française),20,1,84
1174,Giron,0,Commune hors attraction des villes,30,1,84
1175,Gorrevod,84,Mâcon,20,1,84
1177,Grand-Corent,80,Bourg-en-Bresse,20,1,84
1179,Grièges,84,Mâcon,20,1,84
1180,Grilly,GEN,Genève - Annemasse (partie française),20,1,84
1181,Groissiat,168,Oyonnax,20,1,84
1183,Guéreins,0,Commune hors attraction des villes,30,1,84
1184,Hautecourt-Romanèche,80,Bourg-en-Bresse,20,1,84
1185,Plateau d'Hauteville,572,Plateau d'Hauteville,11,1,84
1187,Haut Valromey,0,Commune hors attraction des villes,30,1,84
1188,Illiat,0,Commune hors attraction des villes,30,1,84
1189,Injoux-Génissiat,GEN,Genève - Annemasse (partie française),20,1,84
1190,Innimond,0,Commune hors attraction des villes,30,1,84
1191,Izenave,0,Commune hors attraction des villes,30,1,84
1192,Izernore,168,Oyonnax,20,1,84
1193,Izieu,0,Commune hors attraction des villes,30,1,84
1194,Jassans-Riottier,2,Lyon,20,1,84
1195,Jasseron,80,Bourg-en-Bresse,20,1,84
1196,Jayat,80,Bourg-en-Bresse,20,1,84
1197,Journans,80,Bourg-en-Bresse,20,1,84
1198,Joyeux,2,Lyon,20,1,84
1199,Jujurieux,243,Ambérieu-en-Bugey,20,1,84
1200,Labalme,0,Commune hors attraction des villes,30,1,84
1202,Lagnieu,505,Lagnieu,11,1,84
1203,Laiz,84,Mâcon,20,1,84
1204,Le Poizat-Lalleyriat,0,Commune hors attraction des villes,30,1,84
1206,Lantenay,0,Commune hors attraction des villes,30,1,84
1207,Lapeyrouse,2,Lyon,20,1,84
1208,Lavours,286,Belley,20,1,84
1209,Léaz,GEN,Genève - Annemasse (partie française),20,1,84
1210,Lélex,0,Commune hors attraction des villes,30,1,84
1211,Lent,80,Bourg-en-Bresse,20,1,84
1212,Lescheroux,80,Bourg-en-Bresse,20,1,84
1213,Leyment,2,Lyon,20,1,84
1214,Leyssard,168,Oyonnax,20,1,84
1215,Surjoux-Lhopital,GEN,Genève - Annemasse (partie française),20,1,84
1216,Lhuis,0,Commune hors attraction des villes,30,1,84
1219,Lompnas,0,Commune hors attraction des villes,30,1,84
1224,Loyettes,2,Lyon,20,1,84
1225,Lurcy,2,Lyon,20,1,84
1227,Magnieu,286,Belley,20,1,84
1228,Maillat,0,Commune hors attraction des villes,30,1,84
1229,Malafretaz,80,Bourg-en-Bresse,20,1,84
1230,Mantenay-Montlin,80,Bourg-en-Bresse,20,1,84
1231,Manziat,84,Mâcon,20,1,84
1232,Marboz,80,Bourg-en-Bresse,20,1,84
1233,Marchamp,0,Commune hors attraction des villes,30,1,84
1234,Marignieu,286,Belley,20,1,84
1235,Marlieux,2,Lyon,20,1,84
1236,Marsonnas,80,Bourg-en-Bresse,20,1,84
1237,Martignat,168,Oyonnax,20,1,84
1238,Massieux,2,Lyon,20,1,84
1239,Massignieu-de-Rives,286,Belley,20,1,84
1240,Matafelon-Granges,168,Oyonnax,20,1,84
1241,Meillonnas,80,Bourg-en-Bresse,20,1,84
1242,Mérignat,0,Commune hors attraction des villes,30,1,84
1243,Messimy-sur-Saône,2,Lyon,20,1,84
1244,Meximieux,2,Lyon,20,1,84
1245,Bohas-Meyriat-Rignat,80,Bourg-en-Bresse,20,1,84
1246,Mézériat,80,Bourg-en-Bresse,20,1,84
1247,Mijoux,GEN,Genève - Annemasse (partie française),20,1,84
1248,Mionnay,2,Lyon,20,1,84
1249,Miribel,2,Lyon,20,1,84
1250,Misérieux,2,Lyon,20,1,84
1252,Mogneneins,0,Commune hors attraction des villes,30,1,84
1254,Montagnat,80,Bourg-en-Bresse,20,1,84
1255,Montagnieu,0,Commune hors attraction des villes,30,1,84
1257,Montanges,GEN,Genève - Annemasse (partie française),20,1,84
1258,Montceaux,0,Commune hors attraction des villes,30,1,84
1259,Montcet,80,Bourg-en-Bresse,20,1,84
1260,Le Montellier,2,Lyon,20,1,84
1261,Monthieux,2,Lyon,20,1,84
1262,Montluel,2,Lyon,20,1,84
1263,Montmerle-sur-Saône,0,Commune hors attraction des villes,30,1,84
1264,Montracol,80,Bourg-en-Bresse,20,1,84
1265,Montréal-la-Cluse,168,Oyonnax,20,1,84
1266,Montrevel-en-Bresse,80,Bourg-en-Bresse,20,1,84
1267,Nurieux-Volognat,168,Oyonnax,20,1,84
1268,Murs-et-Gélignieux,286,Belley,20,1,84
1269,Nantua,0,Commune hors attraction des villes,30,1,84
1272,Neuville-les-Dames,524,Châtillon-sur-Chalaronne,20,1,84
1273,Neuville-sur-Ain,0,Commune hors attraction des villes,30,1,84
1274,Les Neyrolles,0,Commune hors attraction des villes,30,1,84
1275,Neyron,2,Lyon,20,1,84
1276,Niévroz,2,Lyon,20,1,84
1277,Nivollet-Montgriffon,0,Commune hors attraction des villes,30,1,84
1279,Oncieu,0,Commune hors attraction des villes,30,1,84
1280,Ordonnaz,0,Commune hors attraction des villes,30,1,84
1281,Ornex,GEN,Genève - Annemasse (partie française),20,1,84
1282,Outriaz,0,Commune hors attraction des villes,30,1,84
1283,Oyonnax,168,Oyonnax,11,1,84
1284,Ozan,84,Mâcon,20,1,84
1285,Parcieux,2,Lyon,20,1,84
1286,Parves et Nattages,50,Chambéry,20,1,84
1288,Péron,GEN,Genève - Annemasse (partie française),20,1,84
1289,Péronnas,80,Bourg-en-Bresse,12,1,84
1290,Pérouges,2,Lyon,20,1,84
1291,Perrex,80,Bourg-en-Bresse,20,1,84
1293,Peyriat,168,Oyonnax,20,1,84
1294,Peyrieu,286,Belley,20,1,84
1295,Peyzieux-sur-Saône,0,Commune hors attraction des villes,30,1,84
1296,Pirajoux,80,Bourg-en-Bresse,20,1,84
1297,Pizay,2,Lyon,20,1,84
1298,Plagne,168,Oyonnax,20,1,84
1299,Le Plantay,2,Lyon,20,1,84
1301,Polliat,80,Bourg-en-Bresse,20,1,84
1302,Pollieu,286,Belley,20,1,84
1303,Poncin,0,Commune hors attraction des villes,30,1,84
1304,Pont-d'Ain,0,Commune hors attraction des villes,30,1,84
1305,Pont-de-Vaux,84,Mâcon,20,1,84
1306,Pont-de-Veyle,84,Mâcon,20,1,84
1307,Port,168,Oyonnax,20,1,84
1308,Pougny,GEN,Genève - Annemasse (partie française),20,1,84
1309,Pouillat,80,Bourg-en-Bresse,20,1,84
1310,Prémeyzel,286,Belley,20,1,84
1311,Prémillieu,0,Commune hors attraction des villes,30,1,84
1313,Prévessin-Moëns,GEN,Genève - Annemasse (partie française),20,1,84
1314,Priay,2,Lyon,20,1,84
1317,Ramasse,80,Bourg-en-Bresse,20,1,84
1318,Rancé,2,Lyon,20,1,84
1319,Relevant,524,Châtillon-sur-Chalaronne,20,1,84
1320,Replonges,84,Mâcon,20,1,84
1321,Revonnas,80,Bourg-en-Bresse,20,1,84
1322,Reyrieux,2,Lyon,20,1,84
1323,Reyssouze,84,Mâcon,20,1,84
1325,Rignieux-le-Franc,2,Lyon,20,1,84
1328,Romans,80,Bourg-en-Bresse,20,1,84
1329,Rossillon,286,Belley,20,1,84
1330,Ruffieu,0,Commune hors attraction des villes,30,1,84
1331,Saint-Alban,0,Commune hors attraction des villes,30,1,84
1332,Saint-André-de-Bâgé,84,Mâcon,20,1,84
1333,Saint-André-de-Corcy,2,Lyon,20,1,84
1334,Saint-André-d'Huiriat,84,Mâcon,20,1,84
1335,Saint-André-le-Bouchoux,2,Lyon,20,1,84
1336,Saint-André-sur-Vieux-Jonc,80,Bourg-en-Bresse,20,1,84
1337,Saint-Bénigne,84,Mâcon,20,1,84
1338,Groslée-Saint-Benoit,0,Commune hors attraction des villes,30,1,84
1339,Saint-Bernard,2,Lyon,20,1,84
1342,Sainte-Croix,2,Lyon,20,1,84
1343,Saint-Cyr-sur-Menthon,84,Mâcon,20,1,84
1344,Saint-Denis-lès-Bourg,80,Bourg-en-Bresse,12,1,84
1345,Saint-Denis-en-Bugey,243,Ambérieu-en-Bugey,12,1,84
1346,Saint-Didier-d'Aussiat,80,Bourg-en-Bresse,20,1,84
1347,Saint-Didier-de-Formans,2,Lyon,20,1,84
1348,Saint-Didier-sur-Chalaronne,638,Saint-Didier-sur-Chalaronne,11,1,84
1349,Saint-Éloi,2,Lyon,20,1,84
1350,Saint-Étienne-du-Bois,80,Bourg-en-Bresse,20,1,84
1351,Saint-Étienne-sur-Chalaronne,0,Commune hors attraction des villes,30,1,84
1352,Saint-Étienne-sur-Reyssouze,84,Mâcon,20,1,84
1353,Sainte-Euphémie,2,Lyon,20,1,84
1354,Saint-Genis-Pouilly,GEN,Genève - Annemasse (partie française),20,1,84
1355,Saint-Genis-sur-Menthon,80,Bourg-en-Bresse,20,1,84
1356,Saint-Georges-sur-Renon,2,Lyon,20,1,84
1357,Saint-Germain-de-Joux,0,Commune hors attraction des villes,30,1,84
1358,Saint-Germain-les-Paroisses,286,Belley,20,1,84
1359,Saint-Germain-sur-Renon,2,Lyon,20,1,84
1360,Saint-Jean-de-Gonville,GEN,Genève - Annemasse (partie française),20,1,84
1361,Saint-Jean-de-Niost,2,Lyon,20,1,84
1362,Saint-Jean-de-Thurigneux,2,Lyon,20,1,84
1363,Saint-Jean-le-Vieux,243,Ambérieu-en-Bugey,20,1,84
1364,Saint-Jean-sur-Reyssouze,80,Bourg-en-Bresse,20,1,84
1365,Saint-Jean-sur-Veyle,84,Mâcon,20,1,84
1366,Sainte-Julie,2,Lyon,20,1,84
1367,Saint-Julien-sur-Reyssouze,80,Bourg-en-Bresse,20,1,84
1368,Saint-Julien-sur-Veyle,0,Commune hors attraction des villes,30,1,84
1369,Saint-Just,80,Bourg-en-Bresse,20,1,84
1370,Saint-Laurent-sur-Saône,84,Mâcon,12,1,84
1371,Saint-Marcel,2,Lyon,20,1,84
1372,Saint-Martin-de-Bavel,286,Belley,20,1,84
1373,Saint-Martin-du-Frêne,0,Commune hors attraction des villes,30,1,84
1374,Saint-Martin-du-Mont,80,Bourg-en-Bresse,20,1,84
1375,Saint-Martin-le-Châtel,80,Bourg-en-Bresse,20,1,84
1376,Saint-Maurice-de-Beynost,2,Lyon,20,1,84
1378,Saint-Maurice-de-Gourdans,2,Lyon,20,1,84
1379,Saint-Maurice-de-Rémens,2,Lyon,20,1,84
1380,Saint-Nizier-le-Bouchoux,80,Bourg-en-Bresse,20,1,84
1381,Saint-Nizier-le-Désert,2,Lyon,20,1,84
1382,Sainte-Olive,2,Lyon,20,1,84
1383,Saint-Paul-de-Varax,2,Lyon,20,1,84
1384,Saint-Rambert-en-Bugey,243,Ambérieu-en-Bugey,20,1,84
1385,Saint-Rémy,80,Bourg-en-Bresse,20,1,84
1386,Saint-Sorlin-en-Bugey,505,Lagnieu,12,1,84
1387,Saint-Sulpice,80,Bourg-en-Bresse,20,1,84
1388,Saint-Trivier-de-Courtes,0,Commune hors attraction des villes,30,1,84
1389,Saint-Trivier-sur-Moignans,2,Lyon,20,1,84
1390,Saint-Vulbas,2,Lyon,20,1,84
1391,Salavre,80,Bourg-en-Bresse,20,1,84
1392,Samognat,168,Oyonnax,20,1,84
1393,Sandrans,2,Lyon,20,1,84
1396,Sault-Brénaz,0,Commune hors attraction des villes,30,1,84
1397,Sauverny,GEN,Genève - Annemasse (partie française),20,1,84
1398,Savigneux,2,Lyon,20,1,84
1399,Ségny,GEN,Genève - Annemasse (partie française),20,1,84
1400,Seillonnaz,0,Commune hors attraction des villes,30,1,84
1401,Sergy,GEN,Genève - Annemasse (partie française),20,1,84
1402,Sermoyer,0,Commune hors attraction des villes,30,1,84
1403,Serrières-de-Briord,0,Commune hors attraction des villes,30,1,84
1404,Serrières-sur-Ain,0,Commune hors attraction des villes,30,1,84
1405,Servas,80,Bourg-en-Bresse,20,1,84
1406,Servignat,0,Commune hors attraction des villes,30,1,84
1407,Seyssel,0,Commune hors attraction des villes,30,1,84
1408,Simandre-sur-Suran,80,Bourg-en-Bresse,20,1,84
1410,Sonthonnax-la-Montagne,168,Oyonnax,20,1,84
1411,Souclin,505,Lagnieu,20,1,84
1412,Sulignat,0,Commune hors attraction des villes,30,1,84
1415,Talissieu,652,Culoz,20,1,84
1416,Tenay,0,Commune hors attraction des villes,30,1,84
1418,Thil,2,Lyon,20,1,84
1419,Thoiry,GEN,Genève - Annemasse (partie française),20,1,84
1420,Thoissey,638,Saint-Didier-sur-Chalaronne,12,1,84
1421,Torcieu,243,Ambérieu-en-Bugey,20,1,84
1422,Tossiat,80,Bourg-en-Bresse,20,1,84
1423,Toussieux,2,Lyon,20,1,84
1424,Tramoyes,2,Lyon,20,1,84
1425,La Tranclière,80,Bourg-en-Bresse,20,1,84
1426,Val-Revermont,80,Bourg-en-Bresse,20,1,84
1427,Trévoux,2,Lyon,20,1,84
1428,Valeins,0,Commune hors attraction des villes,30,1,84
1429,Vandeins,80,Bourg-en-Bresse,20,1,84
1430,Varambon,243,Ambérieu-en-Bugey,20,1,84
1431,Vaux-en-Bugey,243,Ambérieu-en-Bugey,20,1,84
1432,Verjon,80,Bourg-en-Bresse,20,1,84
1433,Vernoux,0,Commune hors attraction des villes,30,1,84
1434,Versailleux,2,Lyon,20,1,84
1435,Versonnex,GEN,Genève - Annemasse (partie française),20,1,84
1436,Vesancy,GEN,Genève - Annemasse (partie française),20,1,84
1437,Vescours,0,Commune hors attraction des villes,30,1,84
1439,Vésines,84,Mâcon,20,1,84
1441,Vieu-d'Izenave,0,Commune hors attraction des villes,30,1,84
1443,Villars-les-Dombes,2,Lyon,20,1,84
1444,Villebois,0,Commune hors attraction des villes,30,1,84
1445,Villemotier,80,Bourg-en-Bresse,20,1,84
1446,Villeneuve,2,Lyon,20,1,84
1447,Villereversure,80,Bourg-en-Bresse,20,1,84
1448,Villes,GEN,Genève - Annemasse (partie française),20,1,84
1449,Villette-sur-Ain,0,Commune hors attraction des villes,30,1,84
1450,Villieu-Loyes-Mollon,2,Lyon,20,1,84
1451,Viriat,80,Bourg-en-Bresse,20,1,84
1452,Virieu-le-Grand,286,Belley,20,1,84
1453,Arvière-en-Valromey,0,Commune hors attraction des villes,30,1,84
1454,Virignin,286,Belley,20,1,84
1456,Vongnes,286,Belley,20,1,84
1457,Vonnas,80,Bourg-en-Bresse,20,1,84
2001,Abbécourt,273,Chauny,20,2,32
2002,Achery,283,Tergnier,20,2,32
2003,Acy,128,Soissons,20,2,32
2004,Agnicourt-et-Séchelles,0,Commune hors attraction des villes,30,2,32
2005,Aguilcourt,36,Reims,20,2,32
2006,Aisonville-et-Bernoville,0,Commune hors attraction des villes,30,2,32
2007,Aizelles,36,Reims,20,2,32
2008,Aizy-Jouy,128,Soissons,20,2,32
2009,Alaincourt,94,Saint-Quentin,20,2,32
2010,Allemant,128,Soissons,20,2,32
2011,Ambleny,128,Soissons,20,2,32
2012,Ambrief,128,Soissons,20,2,32
2013,Amifontaine,36,Reims,20,2,32
2014,Amigny-Rouy,273,Chauny,20,2,32
2015,Ancienville,1,Paris,20,2,32
2016,Andelain,283,Tergnier,20,2,32
2017,Anguilcourt-le-Sart,283,Tergnier,20,2,32
2018,Anizy-le-Grand,136,Laon,20,2,32
2019,Annois,0,Commune hors attraction des villes,30,2,32
2020,Any-Martin-Rieux,308,Hirson,20,2,32
2021,Archon,0,Commune hors attraction des villes,30,2,32
2022,Arcy-Sainte-Restitue,0,Commune hors attraction des villes,30,2,32
2023,Armentières-sur-Ourcq,209,Château-Thierry,20,2,32
2024,Arrancy,36,Reims,20,2,32
2025,Artemps,94,Saint-Quentin,20,2,32
2027,Assis-sur-Serre,136,Laon,20,2,32
2028,Athies-sous-Laon,136,Laon,20,2,32
2029,Attilly,94,Saint-Quentin,20,2,32
2030,Aubencheul-aux-Bois,94,Saint-Quentin,20,2,32
2031,Aubenton,308,Hirson,20,2,32
2032,Aubigny-aux-Kaisnes,0,Commune hors attraction des villes,30,2,32
2033,Aubigny-en-Laonnois,0,Commune hors attraction des villes,30,2,32
2034,Audignicourt,0,Commune hors attraction des villes,30,2,32
2035,Audigny,466,Guise,20,2,32
2036,Augy,128,Soissons,20,2,32
2037,Aulnois-sous-Laon,136,Laon,20,2,32
2038,Les Autels,0,Commune hors attraction des villes,30,2,32
2039,Autremencourt,136,Laon,20,2,32
2040,Autreppes,0,Commune hors attraction des villes,30,2,32
2041,Autreville,273,Chauny,20,2,32
2042,Azy-sur-Marne,1,Paris,20,2,32
2043,Bagneux,128,Soissons,20,2,32
2044,Bancigny,0,Commune hors attraction des villes,30,2,32
2046,Barenton-Bugny,136,Laon,20,2,32
2047,Barenton-Cel,136,Laon,20,2,32
2048,Barenton-sur-Serre,136,Laon,20,2,32
2049,Barisis-aux-Bois,0,Commune hors attraction des villes,30,2,32
2050,Barzy-en-Thiérache,494,Le Nouvion-en-Thiérache,20,2,32
2051,Barzy-sur-Marne,0,Commune hors attraction des villes,30,2,32
2052,Bassoles-Aulers,128,Soissons,20,2,32
2053,Vallées en Champagne,0,Commune hors attraction des villes,30,2,32
2054,Bazoches-sur-Vesles,36,Reims,20,2,32
2055,Beaumé,308,Hirson,20,2,32
2056,Beaumont-en-Beine,0,Commune hors attraction des villes,30,2,32
2057,Beaurevoir,94,Saint-Quentin,20,2,32
2058,Beaurieux,36,Reims,20,2,32
2059,Beautor,283,Tergnier,12,2,32
2060,Beauvois-en-Vermandois,94,Saint-Quentin,20,2,32
2061,Becquigny,571,Bohain-en-Vermandois,20,2,32
2062,Belleau,1,Paris,20,2,32
2063,Bellenglise,94,Saint-Quentin,20,2,32
2064,Belleu,128,Soissons,12,2,32
2065,Bellicourt,94,Saint-Quentin,20,2,32
2066,Benay,94,Saint-Quentin,20,2,32
2067,Bergues-sur-Sambre,494,Le Nouvion-en-Thiérache,20,2,32
2068,Berlancourt,0,Commune hors attraction des villes,30,2,32
2069,Berlise,0,Commune hors attraction des villes,30,2,32
2070,Bernot,94,Saint-Quentin,20,2,32
2071,Berny-Rivière,128,Soissons,20,2,32
2072,Berrieux,36,Reims,20,2,32
2073,Berry-au-Bac,36,Reims,20,2,32
2074,Bertaucourt-Epourdon,136,Laon,20,2,32
2075,Berthenicourt,94,Saint-Quentin,20,2,32
2076,Bertricourt,36,Reims,20,2,32
2077,Berzy-le-Sec,128,Soissons,20,2,32
2078,Besmé,0,Commune hors attraction des villes,30,2,32
2079,Besmont,308,Hirson,20,2,32
2080,Besny-et-Loizy,136,Laon,20,2,32
2081,Béthancourt-en-Vaux,273,Chauny,20,2,32
2082,Beugneux,209,Château-Thierry,20,2,32
2083,Beuvardes,209,Château-Thierry,20,2,32
2084,Bézu-le-Guéry,1,Paris,20,2,32
2085,Bézu-Saint-Germain,209,Château-Thierry,20,2,32
2086,Bichancourt,273,Chauny,20,2,32
2087,Bieuxy,128,Soissons,20,2,32
2088,Bièvres,136,Laon,20,2,32
2089,Billy-sur-Aisne,128,Soissons,20,2,32
2090,Billy-sur-Ourcq,1,Paris,20,2,32
2091,Blanzy-lès-Fismes,36,Reims,20,2,32
2093,Blérancourt,0,Commune hors attraction des villes,30,2,32
2094,Blesmes,209,Château-Thierry,20,2,32
2095,Bohain-en-Vermandois,571,Bohain-en-Vermandois,11,2,32
2096,Bois-lès-Pargny,136,Laon,20,2,32
