Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2025;COM;commune;49023;49023
2025;COM;commune;42132;42132
2025;COM;commune;62593;62593
2025;COM;commune;71088;71088
2025;COM;commune;23024;23024
2025;COM;commune;57222;57222
2025;COM;commune;26017;26017
2025;COM;commune;09030;09030
2025;COM;commune;55048;55048
2025;COM;commune;80759;80759
2025;COM;commune;11036;11036
2025;COM;commune;89321;89321
2025;COM;commune;32420;32420
2025;COM;commune;59323;59323
2025;COM;commune;79022;79022
2025;COM;commune;07285;07285
2025;COM;commune;74002;74002
2025;COM;commune;58127;58127
2025;COM;commune;21190;21190
2025;COM;commune;60443;60443
2025;COM;commune;51356;51356
2025;COM;commune;11240;11240
2025;COM;commune;11384;11384
2025;COM;commune;67286;67286
2025;COM;commune;89102;89102
2025;COM;commune;55134;55134
2025;COM;commune;60062;60062
2025;COM;commune;83055;83055
2025;COM;commune;33209;33209
2025;COM;commune;44007;44007
2025;COM;commune;23156;23156
2025;COM;commune;43128;43128
2025;COM;commune;32197;32197
2025;COM;commune;28062;28062
2025;COM;commune;55100;55100
2025;COM;commune;17382;17382
2025;COM;commune;35293;35282
2025;COM;commune;49295;49244
2025;COM;commune;02737;02737
2025;COM;commune;47298;47298
2025;COM;commune;70238;70238
2025;COM;commune;09196;09196
2025;COM;commune;76181;76181
2025;COM;commune;49127;49127
2025;COM;commune;19228;19228
2025;COM;commune;12174;12174
2025;COM;commune;81320;81320
2025;COM;commune;54420;54420
2025;COM;commune;23003;23003
2025;COM;commune;67134;67134
2025;COM;commune;2A040;2A040
2025;COM;commune;09187;09187
2025;COM;commune;22158;22158
2025;COM;commune;19194;19194
2025;COM;commune;09287;09088
2025;COM;commune;72255;72255
2025;COM;commune;25156;25156
2025;COM;commune;89230;89230
2025;COM;commune;65398;65398
2025;COM;commune;80081;80081
2025;COM;commune;95078;95078
2025;COM;commune;51486;51486
2025;COM;commune;57195;57195
2025;COM;commune;23050;23050
2025;COM;commune;78049;78049
2025;COM;commune;80485;80485
2025;COM;commune;76522;76522
2025;COM;commune;21513;21178
2025;COM;commune;47225;47225
2025;COM;commune;63454;63454
2025;COM;commune;72272;72272
2025;COM;commune;64028;64028
2025;COM;commune;70338;70338
2025;COM;commune;40075;40075
2025;COM;commune;50079;50079
2025;COM;commune;01244;01244
2025;COM;commune;36093;36093
2025;COM;commune;30065;30065
2025;COM;commune;46193;46193
2025;COM;commune;15067;15067
2025;COM;commune;49050;49050
2025;COM;commune;01398;01398
2025;COM;commune;42062;42062
2025;COM;commune;54318;54318
2025;COM;commune;04177;04177
2025;COM;commune;89421;89197
2025;COM;commune;51560;51560
2025;COM;commune;18259;18259
2025;COM;commune;22242;22242
2025;COM;commune;08244;08244
2025;DEP;département;72;72
2025;COM;commune;14054;14054
2025;COM;commune;51492;51492
2025;COM;commune;89011;89011
2025;COM;commune;34335;34335
2025;COM;commune;33233;33233
2025;COM;commune;19243;19243
2025;COM;commune;16394;16394
2025;COM;commune;39437;39437
2025;COM;commune;08368;08368
2025;COM;commune;38350;38350
2025;COM;commune;11144;11144
2025;COM;commune;35179;35179
2025;COM;commune;28099;28099
2025;COM;commune;81297;81297
2025;COM;commune;19031;19031
2025;COM;commune;42264;42264
2025;COM;commune;21319;21319
2025;COM;commune;10070;10070
2025;COM;commune;46331;46268
2025;COM;commune;21403;21403
2025;COM;commune;28424;28424
2025;COM;commune;35269;35282
2025;COM;commune;51642;51642
2025;COM;commune;80657;80657
2025;COM;commune;37063;37063
2025;COM;commune;04209;04209
2025;COM;commune;28159;28159
2025;COM;commune;69283;69283
2025;COM;commune;51173;51173
2025;COM;commune;71582;71582
2025;COM;commune;97603;97603
2025;COM;commune;59322;59322
2025;COM;commune;02008;02008
2025;COM;commune;55429;55429
2025;COM;commune;77360;77360
2025;COM;commune;52306;52306
2025;COM;commune;59592;59592
2025;COM;commune;09230;09230
2025;COM;commune;71014;71014
2025;COM;commune;26338;26338
2025;COM;commune;54041;54041
2025;COM;commune;97218;97218
2025;COM;commune;76642;76642
2025;COM;commune;60669;60669
2025;COM;commune;80017;80017
2025;COM;commune;72237;72237
2025;COM;commune;47046;47046
2025;COM;commune;12067;12067
2025;COM;commune;32228;32228
2025;COM;commune;11111;11111
2025;COM;commune;76676;76676
2025;COM;commune;62375;62375
2025;COM;commune;80005;80005
2025;COM;commune;34249;34249
2025;COM;commune;58271;58271
2025;COM;commune;10442;10442
2025;COM;commune;28330;28330
2025;COM;commune;69272;69272
2025;COM;commune;51263;51263
2025;COM;commune;52353;52353
2025;COM;commune;39389;39389
2025;COM;commune;34287;34287
2025;COM;commune;14415;14658
2025;COM;commune;35175;35175
2025;COM;commune;68195;68195
2025;COM;commune;10228;10228
2025;COM;commune;60668;60668
2025;COM;commune;50187;50041
2025;COM;commune;60127;60127
2025;COM;commune;09146;09146
2025;COM;commune;2B185;2B185
2025;COM;commune;22180;22180
2025;COM;commune;63058;63058
2025;COM;commune;71033;71033
2025;COM;commune;11220;11220
2025;COM;commune;17264;17264
2025;COM;commune;54172;54172
2025;COM;commune;69046;69046
2025;COM;commune;61004;61168
2025;COM;commune;79342;79342
2025;COM;commune;69288;69288
2025;COM;commune;02304;02304
2025;COM;commune;44152;44152
2025;COM;commune;63169;63169
2025;COM;commune;17208;17208
2025;COM;commune;49192;49192
2025;COM;commune;35134;35134
2025;COM;commune;33176;33176
2025;COM;commune;24567;24567
2025;COM;commune;86006;86006
2025;COM;commune;39185;39185
2025;COM;commune;28335;28335
2025;COM;commune;42187;42187
2025;COM;commune;22340;22340
2025;COM;commune;30182;30182
2025;COM;commune;81025;81025
2025;COM;commune;27592;27592
2025;COM;commune;89336;89336
2025;COM;commune;31170;31170
2025;COM;commune;40059;40059
2025;COM;commune;80805;80805
2025;COM;autre;98901;98901
2025;COM;commune;88134;88134
2025;COM;commune;71425;71425
2025;COM;commune;02615;02615
2025;COM;commune;35203;35203
2025;COM;commune;27003;27003
2025;COM;commune;06068;06068
2025;COM;commune;71389;71389
2025;COM;commune;40140;40140
2025;COM;commune;76429;76429
2025;COM;commune;11296;11296
2025;COM;commune;71245;71245
2025;COM;commune;10339;10339
2025;COM;commune;44032;44032
2025;COM;commune;12236;12236
2025;COM;commune;34234;34234
2025;COM;commune;52529;52529
2025;COM;commune;81125;81125
2025;COM;commune;50576;50576
2025;COM;commune;17087;17087
2025;COM;commune;61086;61086
2025;COM;commune;59114;59114
2025;COM;commune;51074;51074
2025;COM;commune;24174;24174
2025;COM;commune;91425;91425
2025;COM;commune;28221;28221
2025;COM;commune;08115;08115
2025;COM;commune;12275;12275
2025;COM;commune;26271;26271
2025;COM;commune;50617;50617
2025;COM;commune;60163;60163
2025;COM;commune;26124;26124
2025;COM;commune;89124;89124
2025;COM;commune;31155;31155
2025;COM;commune;76370;76370
2025;COM;commune;07176;07176
2025;COM;commune;65313;65313
2025;COM;commune;01238;01238
2025;COM;commune;54540;54540
2025;COM;commune;63075;63075
2025;COM;commune;50510;50510
2025;COM;commune;53218;53218
2025;COM;commune;35285;35285
2025;COM;commune;71050;71050
2025;COM;commune;35230;35230
2025;COM;commune;26190;26190
2025;COM;commune;72043;72043
2025;COM;commune;31576;31576
2025;COM;commune;09197;09197
2025;COM;commune;59578;59578
2025;COM;commune;18156;18156
2025;COM;commune;52332;52465
2025;COM;commune;02391;02391
2025;COM;commune;68157;68157
2025;COM;commune;64425;64425
2025;COM;commune;55412;55412
2025;COM;commune;42296;42296
2025;COM;commune;80159;80159
2025;COM;commune;76433;76433
2025;COM;commune;65181;65181
2025;COM;commune;88428;88428
2025;COM;commune;62403;62403
2025;COM;commune;25250;25558
2025;COM;commune;82080;82080
2025;COM;commune;37230;37230
2025;COM;commune;86110;86110
2025;COM;commune;17019;17019
2025;COM;commune;47236;47236
2025;COM;commune;07183;07183
2025;COM;commune;65282;65282
2025;COM;commune;56212;56212
2025;COM;commune;70113;70113
2025;COM;commune;01435;01435
2025;COM;commune;68144;68144
2025;COM;commune;80684;80684
2025;COM;commune;14016;14016
