CODGEO,CODREG,CODDEP,LIBGEO
01001,84,01,L'Abergement-Clémenciat
01002,84,01,L'Abergement-de-Varey
01004,84,01,Ambérieu-en-Bugey
01005,84,01,Ambérieux-en-Dombes
01006,84,01,Ambléon
01007,84,01,Ambronay
01008,84,01,Ambutrix
01009,84,01,Andert-et-Condon
01010,84,01,Anglefort
01011,84,01,Apremont
01012,84,01,Aranc
01013,84,01,Arandas
01014,84,01,Arbent
01015,84,01,Arboys en Bugey
01016,84,01,Arbigny
01017,84,01,Argis
01019,84,01,Armix
01021,84,01,Ars-sur-Formans
01022,84,01,Artemare
01023,84,01,Asnières-sur-Saône
01024,84,01,Attignat
01025,84,01,Bâgé-Dommartin
01026,84,01,Bâgé-le-Châtel
01027,84,01,Balan
01028,84,01,Baneins
01029,84,01,Beaupont
01030,84,01,Beauregard
01031,84,01,Bellignat
01032,84,01,Béligneux
01033,84,01,Valserhône
01034,84,01,Belley
01035,84,01,Belleydoux
01036,84,01,Valromey-sur-Séran
01037,84,01,Bénonces
01038,84,01,Bény
01040,84,01,Béréziat
01041,84,01,Bettant
01042,84,01,Bey
01043,84,01,Beynost
01044,84,01,Billiat
01045,84,01,Birieux
01046,84,01,Biziat
01047,84,01,Blyes
01049,84,01,La Boisse
01050,84,01,Boissey
01051,84,01,Bolozon
01052,84,01,Bouligneux
01053,84,01,Bourg-en-Bresse
01054,84,01,Bourg-Saint-Christophe
01056,84,01,Boyeux-Saint-Jérôme
01057,84,01,Boz
01058,84,01,Brégnier-Cordon
01060,84,01,Brénod
01061,84,01,Brens
01062,84,01,Bressolles
01063,84,01,Brion
01064,84,01,Briord
01065,84,01,Buellas
01066,84,01,La Burbanche
01067,84,01,Ceignes
01068,84,01,Cerdon
01069,84,01,Certines
01071,84,01,Cessy
01072,84,01,Ceyzériat
01073,84,01,Ceyzérieu
01074,84,01,Chalamont
01075,84,01,Chaleins
01076,84,01,Chaley
01077,84,01,Challes-la-Montagne
01078,84,01,Challex
01079,84,01,Champagne-en-Valromey
01080,84,01,Champdor-Corcelles
01081,84,01,Champfromier
01082,84,01,Chanay
01083,84,01,Chaneins
01084,84,01,Chanoz-Châtenay
01085,84,01,La Chapelle-du-Châtelard
01087,84,01,Charix
01088,84,01,Charnoz-sur-Ain
01089,84,01,Château-Gaillard
01090,84,01,Châtenay
01092,84,01,Châtillon-la-Palud
01093,84,01,Châtillon-sur-Chalaronne
01094,84,01,Chavannes-sur-Reyssouze
01095,84,01,Nivigne et Suran
01096,84,01,Chaveyriat
01098,84,01,Chazey-Bons
01099,84,01,Chazey-sur-Ain
01100,84,01,Cheignieu-la-Balme
01101,84,01,Chevillard
01102,84,01,Chevroux
01103,84,01,Chevry
01104,84,01,Chézery-Forens
01105,84,01,Civrieux
01106,84,01,Cize
01107,84,01,Cleyzieu
01108,84,01,Coligny
01109,84,01,Collonges
