;GeoPoint;Annee;Code_Officiel_Commune;latitude;longitude
0;47.282365921201325, 2.8323560887311503;2025;18287;47.282368;2.832356
1;45.25422840314353, 1.324145201533148;2025;19015;45.254227;1.3241452
2;45.34275335332914, 1.8151519393159006;2025;19016;45.342754;1.8151519
3;45.02494764738508, 1.8689769273345247;2025;19017;45.02495;1.868977
4;45.402255832727434, 1.302304563804866;2025;19025;45.402256;1.3023045
5;45.30613945655842, 1.9980838629971498;2025;19039;45.30614;1.9980838
6;45.312708298463555, 1.6229747194537851;2025;19042;45.31271;1.6229748
7;45.360089229852214, 1.3375156987744428;2025;19059;45.36009;1.3375157
8;45.088470123127294, 1.553884588491872;2025;19093;45.08847;1.5538846
9;45.292432562411264, 2.076766259729826;2025;19097;45.29243;2.0767663
10;45.32353362070278, 2.1148529026951772;2025;19208;45.323532;2.114853
11;45.253821070396654, 1.2954784717770433;2025;19239;45.253822;1.2954785
12;45.3911937130975, 1.766267243190731;2025;19240;45.391193;1.7662673
13;45.66943531333917, 2.1806363897665166;2025;19261;45.669434;2.1806364
14;45.04972221286653, 1.7841325218578827;2025;19271;45.04972;1.7841325
15;45.273087914651775, 1.7631166298092515;2025;19272;45.273087;1.7631166
16;47.535583338749376, 4.488199610465955;2025;21008;47.535583;4.4881997
17;47.993764161511194, 4.621734904333621;2025;21034;47.993763;4.621735
18;46.985092490695365, 4.731761342613274;2025;21037;46.985092;4.7317615
19;47.18226423219457, 5.299991116952315;2025;21138;47.182262;5.299991
20;47.733347462125444, 4.55107876492829;2025;21165;47.73335;4.551079
21;47.17473759691459, 4.787653389577417;2025;21228;47.174736;4.7876534
22;47.75771436701615, 4.794804866610315;2025;21250;47.757713;4.794805
23;47.15922163839077, 4.982769297443245;2025;21267;47.15922;4.9827695
24;47.609911394749204, 4.4386314558437165;2025;21287;47.609913;4.4386315
25;47.8285842007376, 4.927912384560754;2025;21313;47.828583;4.927912
26;47.3617557442524, 4.271781267908502;2025;21328;47.361755;4.2717814
27;47.21966637448421, 4.2887048723000625;2025;21349;47.219666;4.288705
28;47.88933542841707, 4.763791432293813;2025;21357;47.889336;4.7637916
29;49.81902895075965, 4.399580661499996;2025;08169;49.81903;4.3995805
30;49.353429010245236, 4.507678171892733;2025;08264;49.353428;4.507678
31;49.83511868229707, 4.42699075264309;2025;08273;49.835117;4.426991
32;49.40653362124521, 4.31163916538709;2025;08314;49.406532;4.3116393
33;49.70900113960412, 4.797382777372613;2025;08327;49.709;4.797383
34;49.92600148178538, 4.414951318062145;2025;08355;49.926003;4.4149513
35;49.78479328719153, 4.502027002714478;2025;08370;49.784794;4.502027
36;49.65521646578757, 4.851973152837029;2025;08377;49.655216;4.851973
37;49.85980631774797, 4.669730500214778;2025;08408;49.859806;4.6697307
38;49.551320324050884, 4.371623919261888;2025;08427;49.55132;4.371624
39;49.75232454882149, 4.6102163434566;2025;08450;49.752323;4.610216
40;49.3979311031393, 4.601429332852482;2025;08455;49.39793;4.6014295
41;49.6325854380579, 4.48416315652684;2025;08472;49.632584;4.4841633
42;42.88711838077217, 0.9827872129619495;2025;09034;42.88712;0.9827872
43;42.951551117418674, 1.4723072551543712;2025;09068;42.95155;1.4723072
44;42.78585994203063, 1.6868442273627247;2025;09070;42.78586;1.6868442
45;42.77218642347226, 1.8222411187639007;2025;09087;42.772186;1.8222411
46;43.07558384197388, 1.4964408410934442;2025;09202;43.075584;1.4964409
47;43.020348343154275, 1.3167788435969627;2025;09212;43.020348;1.3167789
48;42.9263996727849, 0.9387341700362861;2025;09219;42.9264;0.9387342
49;42.92816524467518, 1.8094264349892195;2025;09227;42.928165;1.8094264
50;42.940904310104806, 1.6906985920240822;2025;09300;42.940903;1.6906986
51;42.750661203184485, 1.7992907986593845;2025;09311;42.75066;1.7992908
52;42.78255949475206, 1.4783539922773663;2025;09334;42.78256;1.478354
53;42.9499879707895, 0.9836676651948552;2025;09335;42.94999;0.9836677
54;43.15872260397424, 1.6427081974879474;2025;09339;43.158722;1.6427082
55;48.47896860829424, 4.416161977581343;2025;10017;48.47897;4.416162
56;48.529129651318115, 4.454675363981076;2025;10027;48.52913;4.454675
57;48.492856078870524, 3.8363136689382125;2025;10089;48.492855;3.8363137
58;48.46848016667703, 3.4082585330292887;2025;10106;48.46848;3.4082584
59;48.02506794556619, 3.8715005377294225;2025;10108;48.025066;3.8715005
60;48.0573351507141, 4.06236076858882;2025;10168;48.057335;4.062361
61;48.543939812449885, 4.282330373707541;2025;10174;48.54394;4.2823305
62;48.16821384740994, 4.421789068251684;2025;10213;48.168213;4.421789
63;48.25096860503443, 4.346066871613375;2025;10238;48.25097;4.346067
64;48.09275926832501, 3.9646059920785923;2025;10251;48.09276;3.964606
65;47.996934446101086, 4.4731795039549125;2025;10288;47.996933;4.4731793
66;48.196721252225274, 4.044627468185239;2025;10324;48.19672;4.0446277
67;48.27794863852865, 4.048698596338202;2025;10333;48.27795;4.0486984
68;48.531218210938, 4.4858414073738935;2025;10346;48.53122;4.4858413
69;48.227299156657686, 4.612857893724968;2025;10374;48.2273;4.612858
70;45.639975560629715, 0.04674844478876345;2025;16388;45.639977;0.046748444
71;45.82383762281048, 0.10663149527255003;2025;16423;45.823837;0.106631495
72;45.71313191915591, -0.44700338339953266;2025;17100;45.71313;-0.4470034
73;45.72669190569829, -0.9655121025398078;2025;17185;45.726692;-0.9655121
74;45.65937691554597, -0.5739856514333355;2025;17191;45.659378;-0.57398564
75;45.795948604870546, -0.2028962085003341;2025;17217;45.795948;-0.20289621
76;45.407234424380256, -0.4025082793777286;2025;17270;45.407234;-0.4025083
77;45.949486010920786, -0.45239633783844346;2025;17288;45.949486;-0.45239633
78;46.07636288318241, -0.8045022531968448;2025;17340;46.076363;-0.80450225
79;46.19895619682731, -1.366795968301275;2025;17369;46.198956;-1.366796
80;45.690799588581235, -0.5207817297680949;2025;17400;45.6908;-0.52078176
81;45.89088426978525, -0.8456921444365799;2025;17455;45.890884;-0.84569216
82;45.07023277095074, 3.059412196606629;2025;15004;45.070232;3.0594122
83;44.83111775334301, 3.056663158109703;2025;15007;44.83112;3.0566633
84;44.97001108385713, 3.2375175855468314;2025;15034;44.970013;3.2375176
85;45.18349650354363, 3.242428411841877;2025;15042;45.1835;3.2424283
86;45.106233978354375, 3.327115794477418;2025;15048;45.106236;3.3271158
87;44.38286411253266, 2.1376671528554656;2025;12034;44.382866;2.1376672
88;43.9559817309762, 2.7585785035298707;2025;12042;43.955982;2.7585785
89;46.96894519159174, 2.542705624417172;2025;18006;46.968945;2.5427055
90;47.3833049195629, 2.8729336075537075;2025;18020;47.383305;2.8729336
91;46.97359707424358, 2.1853692045870914;2025;18066;46.9736;2.1853693
92;47.30457160720989, 2.747291037749695;2025;18079;47.304573;2.747291
93;47.08741994936665, 2.8834280186308687;2025;18099;47.08742;2.883428
94;46.806829028387725, 2.2475565686603844;2025;18152;46.806828;2.2475567
95;47.00388612738359, 2.838819108575667;2025;18160;47.003887;2.838819
96;47.364344074033205, 2.6654520807519684;2025;18168;47.364346;2.665452
97;46.86054325929585, 2.8294408598873924;2025;18195;46.860542;2.8294408
98;47.34631079852505, 2.8537788714194696;2025;18233;47.34631;2.8537788
99;44.9255752161941, 2.2743605812313676;2025;15088;44.925575;2.2743607
100;45.10349230059773, 2.7823725742522107;2025;15101;45.103493;2.7823725
101;45.233780903443176, 3.1267079150624477;2025;15127;45.23378;3.126708
102;44.928688845664496, 2.8381184415361647;2025;15152;44.928688;2.8381186
103;44.750021397731324, 2.336919138507256;2025;15172;44.750023;2.336919
104;45.0405583514707, 2.604385708085014;2025;15178;45.040558;2.6043856
105;44.950489485787266, 2.1203284530568425;2025;15228;44.95049;2.1203284
106;45.22349462558481, 2.366704253087111;2025;15261;45.223495;2.3667042
107;45.10143364995284, 2.354213417671187;2025;15269;45.101433;2.3542135
108;45.57619241344127, -0.1350077707298548;2025;16050;45.57619;-0.13500777
109;45.931335216998995, 0.28859569363426985;2025;16114;45.931335;0.2885957
110;45.65551740488152, 0.23641951437551317;2025;16199;45.655518;0.23641951
111;45.93426609445277, 0.6219004618706138;2025;16205;45.934265;0.62190044
112;45.85754417386675, 0.01836594294001502;2025;16207;45.857544;0.018365944
113;45.77245901923372, -0.13629400435762282;2025;16208;45.772457;-0.136294
114;45.875071678315855, -0.03366827135381944;2025;16221;45.875072;-0.033668272
115;45.44155763230958, -0.21892212795264224;2025;16224;45.44156;-0.21892212
116;45.41415828394078, 0.14489803046434266;2025;16230;45.414158;0.14489803
117;45.92435219958212, 0.42074630345681274;2025;16255;45.92435;0.4207463
118;46.097104055466815, 0.4922743047633138;2025;16264;46.097103;0.4922743
119;45.73665450686712, -0.24940452896026416;2025;16277;45.736656;-0.24940453
120;45.473838584816754, -0.08927767876642385;2025;16303;45.47384;-0.08927768
121;45.65545254074908, -0.07566120634502575;2025;16352;45.655453;-0.075661205
122;45.68171264030607, 0.1283757943499388;2025;16358;45.681713;0.1283758
123;45.97132362045355, 0.051300418905266446;2025;16373;45.971325;0.051300418
124;46.055440971627576, 0.043982359887764735;2025;16381;46.055443;0.04398236
125;44.56664252443935, 2.58444016204111;2025;12049;44.566643;2.5844402
126;44.292814720094775, 2.3080659144476914;2025;12059;44.292816;2.308066
127;43.929165556757724, 2.6345083931670805;2025;12141;43.929165;2.6345084
128;44.44734592775643, 2.253657974640278;2025;12206;44.447346;2.253658
129;44.51264704780924, 3.012400276169292;2025;12224;44.512646;3.0124004
130;44.45460817029896, 1.8717009317539726;2025;12256;44.45461;1.8717009
131;43.72113490681323, 5.245429838381441;2025;13024;43.721134;5.24543
132;43.7878673547473, 4.763569794187886;2025;13057;43.78787;4.76357
133;43.34359816371395, 5.597704319032873;2025;13086;43.343597;5.5977044
134;43.51674047379745, 5.593741661566044;2025;13090;43.51674;5.593742
135;43.41146225268075, 5.437590408283545;2025;13107;43.41146;5.4375906
136;49.234119258625825, -0.4377352298063606;2025;14123;49.23412;-0.43773523
137;49.24963862707317, -0.8009772385913004;2025;14130;49.249638;-0.80097723
138;49.056426295087554, 3.3815414599372637;2025;02168;49.056427;3.3815415
139;49.6489358948402, 3.5938595986417705;2025;02180;49.648937;3.5938597
140;49.228557704155506, 3.4521310341231093;2025;02233;49.228558;3.452131
141;49.483942057747804, 3.311819483183285;2025;02236;49.483944;3.3118196
142;49.68367783985765, 3.8197104248090104;2025;02248;49.683678;3.8197105
143;49.76684044183549, 4.141910207434519;2025;02265;49.76684;4.14191
144;49.54888890267074, 3.2929861019010476;2025;02318;49.54889;3.2929862
145;49.796173580646546, 3.6953976207264128;2025;02385;49.796173;3.6953976
146;49.26126134060887, 3.0542012625615653;2025;02410;49.26126;3.0542014
147;49.66149617566408, 3.484865437900751;2025;02492;49.661495;3.4848654
148;49.78862822803782, 3.4706502341707512;2025;02648;49.788628;3.4706502
149;49.14521164921192, 3.3891095959827546;2025;02649;49.14521;3.3891096
150;49.51009990284838, 3.1881698199780093;2025;02671;49.5101;3.1881697
151;49.93169620807664, 3.340597116128806;2025;02708;49.931698;3.3405972
152;49.41043620797621, 3.5996197574632327;2025;02730;49.410435;3.5996199
153;49.52099237712408, 3.558579892260436;2025;02765;49.520992;3.55858
154;49.29277764141843, 3.6372498134790536;2025;02817;49.292778;3.6372497
155;48.997440928548016, 3.261162642381035;2025;02818;48.99744;3.2611628
156;46.23195474564171, 3.4402488000122355;2025;03029;46.231956;3.4402487
157;46.470084937745575, 2.9551062129002896;2025;03046;46.470085;2.9551063
158;46.781670186036294, 2.9875252828082512;2025;03064;46.78167;2.9875252
159;46.3971634151429, 3.633143159564924;2025;03067;46.397163;3.6331432
160;46.25305517596484, 3.1460868146242977;2025;03096;46.253056;3.146087
161;46.164715661185504, 3.008348508757954;2025;03135;46.164715;3.0083485
162;46.36632665282142, 3.952681136622706;2025;03154;46.366325;3.952681
163;46.507626929816574, 2.450319579957664;2025;03225;46.507626;2.4503195
164;44.111165564167905, 6.330564862970505;2025;04009;44.111164;6.330565
165;44.27281941259398, 6.253258724506963;2025;04020;44.27282;6.2532587
166;44.40835858481758, 6.029812889774098;2025;04066;44.40836;6.029813
167;43.950231226441026, 6.801960988961037;2025;04076;43.95023;6.801961
168;44.04489100087863, 6.445579085402548;2025;04099;44.04489;6.445579
169;44.1524291238502, 5.58906002171246;2025;04140;44.152428;5.58906
170;43.87135192551042, 6.121545048756693;2025;04157;43.871353;6.121545
171;43.915155559960446, 6.604225138078995;2025;04236;43.915157;6.604225
172;44.7363012945305, 6.460175670026901;2025;05058;44.7363;6.4601755
173;44.68430006290719, 6.890117569315882;2025;05157;44.6843;6.8901176
174;43.585404757108535, 6.949854516376496;2025;06108;43.585403;6.9498544
175;49.23745153848263, -0.0731876705525144;2025;14203;49.23745;-0.07318767
176;49.2837437404754, -0.7621331149810459;2025;14214;49.283745;-0.7621331
177;49.24382939769968, 0.0336076498312308;2025;14218;49.243828;0.03360765
178;49.147795690384186, -0.4283527856648736;2025;14254;49.147797;-0.42835277
179;49.13963440744702, -0.5313245972877793;2025;14311;49.139633;-0.5313246
180;49.14052390127071, 0.4067062540004492;2025;14334;49.140522;0.40670624
181;49.08233660650375, -0.3993368189561364;2025;14349;49.082336;-0.3993368
182;49.28187883203241, -0.511703411290718;2025;14355;49.28188;-0.51170343
183;49.13150140935029, -0.42222295356051925;2025;14396;49.1315;-0.42222294
184;49.28963549464404, -0.6005759158421068;2025;14400;49.289635;-0.6005759
185;49.167579386106084, 0.07033978729464735;2025;14448;49.16758;0.070339784
186;49.121998766077965, -0.6100840196453082;2025;14449;49.121998;-0.610084
187;48.91373677647181, -0.015100537730033847;2025;14469;48.91374;-0.015100538
188;49.17775391814476, 0.21412931267696844;2025;14487;49.177753;0.21412931
189;49.186315870983194, 0.021858866264998292;2025;14550;49.186317;0.021858865
190;49.30825959136241, 0.15468417473634224;2025;14620;49.308258;0.15468417
191;49.04511351241359, -0.47957273647705745;2025;14713;49.045113;-0.47957274
192;49.262904473878905, -0.14550584882409195;2025;14724;49.262905;-0.14550585
193;49.11253522814431, -0.4429445413766553;2025;14747;49.112534;-0.44294453
194;47.49512176035936, 6.784677130240171;2025;25170;47.49512;6.784677
195;47.25977887248634, 6.426672385910078;2025;25175;47.259777;6.4266725
196;47.23801695246462, 6.873486838696479;2025;25193;47.238018;6.873487
197;47.28435503191654, 6.67053171357695;2025;25290;47.284355;6.6705317
198;47.195280284170664, 6.155615896630676;2025;25364;47.195282;6.155616
199;47.36593218107421, 6.0923871127657865;2025;25444;47.365932;6.092387
200;47.0354267703642, 5.8840518282588485;2025;25445;47.035427;5.884052
201;47.37925254414758, 6.708362466825283;2025;25485;47.379253;6.7083626
202;47.256792311908605, 6.9228677298907035;2025;25573;47.256794;6.922868
203;47.16329082236072, 6.332177127504503;2025;25578;47.163292;6.332177
204;47.2487441302721, 6.690800508407691;2025;25588;47.248745;6.6908007
205;47.28347032703815, 6.427787352498697;2025;25590;47.28347;6.4277873
206;47.15286492669376, 5.929328073864471;2025;25631;47.152866;5.929328
207;47.34881414445923, 6.62622027563073;2025;25635;47.348816;6.62622
208;44.76659068321684, 4.915090382350723;2025;26006;44.76659;4.9150906
209;44.617229503929096, 5.354418280994306;2025;26017;44.61723;5.3544183
210;44.68324047835719, 4.972676433868017;2025;26021;44.68324;4.9726763
211;45.084247240280455, 0.5394736736665278;2025;24205;45.084248;0.53947365
212;45.15863765080176, 1.195655147925508;2025;24324;45.158638;1.1956551
213;44.79723198632889, 0.6025808780061657;2025;24374;44.797234;0.6025809
214;45.64112622788755, 0.7470138449995335;2025;24381;45.641125;0.74701387
215;45.584519502541674, 1.0067961781483064;2025;24486;45.58452;1.0067961
216;45.43786859872624, 1.0351207373794102;2025;24522;45.43787;1.0351207
217;44.81731015888708, 0.9781920365601176;2025;24538;44.81731;0.97819203
218;44.81426161620475, 0.6303823038770896;2025;24570;44.814262;0.6303823
219;47.49624767792905, 6.450747206991;2025;25003;47.496246;6.450747
220;47.13865206187868, 6.43328890247406;2025;25039;47.138653;6.433289
221;47.41290610345134, 6.773435855982204;2025;25082;47.412907;6.773436
222;47.20196235817961, 6.84241014662787;2025;25127;47.20196;6.84241
223;47.31658693105297, 6.728494410356271;2025;25138;47.316586;6.7284946
224;47.39002069453346, 6.508451134709903;2025;25156;47.390022;6.508451
225;47.447122225831066, 6.690151765060212;2025;25159;47.44712;6.6901517
226;44.32226573399432, 5.534292931848113;2025;26091;44.322266;5.5342927
227;44.55401550577496, 5.180732365916786;2025;26111;44.554016;5.1807323
228;45.26285846902475, 5.1023665623695305;2025;26143;45.26286;5.1023664
229;44.65818760288503, 5.473136709408149;2025;26178;44.658188;5.473137
230;44.62459107697861, 5.514587957893485;2025;26186;44.62459;5.514588
231;44.342278264478786, 5.449952561483251;2025;26199;44.342278;5.4499526
232;45.28590159990666, 4.999953029710926;2025;26213;45.2859;4.999953
233;44.62408414515785, 4.9717049316526944;2025;26258;44.624084;4.971705
234;45.07056248172441, 4.850667485680372;2025;26347;45.070564;4.8506675
235;44.665380080741556, 4.801904885448538;2025;26353;44.66538;4.8019047
236;49.214815923161495, 0.6630238508259965;2025;27113;49.214817;0.6630238
237;49.01372027993228, 1.451811565506961;2025;27136;49.01372;1.4518116
238;48.984559982673844, 0.4644834921118705;2025;27148;48.98456;0.4644835
239;49.11108122135725, 0.4176882198112492;2025;27149;49.11108;0.41768822
240;44.112576640670916, 0.08652895365435759;2025;40015;44.112576;0.08652896
241;43.7985180510351, -1.29568104105386;2025;40021;43.79852;-1.295681
242;43.650304914547874, -0.777842039811871;2025;40028;43.650307;-0.77784204
243;43.63418993153497, -1.36476102279116;2025;40036;43.63419;-1.364761
244;43.557109412982065, -1.2728643992062283;2025;40042;43.55711;-1.2728643
245;43.659080175687684, -0.8068943687617777;2025;40090;43.65908;-0.80689436
246;43.71737497311152, -0.3212505588217828;2025;40091;43.717377;-0.32125056
247;44.42480848497639, -0.6652137335851244;2025;40171;44.42481;-0.6652137
248;44.18911251430627, -1.2453926096075134;2025;40184;44.189114;-1.2453926
249;43.65266690858777, -0.36111051963124186;2025;40220;43.652668;-0.3611105
250;43.60793826178789, -1.3214740624636183;2025;40292;43.607937;-1.3214741
251;44.143802418764196, -0.5007589699603009;2025;40297;44.143803;-0.50075895
252;43.965838881980645, -0.8220758046607459;2025;40330;43.96584;-0.8220758
253;47.90415411431194, 1.1357836304571038;2025;41028;47.904156;1.1357837
254;47.49150297322693, 1.3670762774934502;2025;41052;47.491505;1.3670763
255;47.51002677472366, 1.4773801947335647;2025;41067;47.510025;1.4773802
256;47.6304883843397, 1.2762346667302378;2025;41091;47.63049;1.2762346
257;47.722668490098364, 1.0109710641856875;2025;41103;47.722668;1.0109711
258;47.63647452924186, 1.4457369751854368;2025;41148;47.636475;1.445737
259;47.81311098518538, 1.2780244977204966;2025;41171;47.81311;1.2780246
260;45.52170166663162, 4.5300416890201864;2025;42032;45.5217;4.5300417
