Code FAP détaillées;FAP détaillées;Code FAP agrégées;FAP agrégées;Code domaines professionnels;domaines professionnels
A0Z00;Agriculteurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z01;Éleveurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z02;Bûcherons, sylviculteurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z40;Agriculteurs salariés;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z41;Éleveurs salariés;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z42;Bûcherons, sylviculteurs salariés et agents forestiers;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z43;Conducteurs d'engins agricoles ou forestiers;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A1Z00;Maraîchers, horticulteurs indépendants;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z01;Viticulteurs, arboriculteurs indépendants;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z40;Maraîchers, horticulteurs salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z41;Jardiniers salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z42;Viticulteurs, arboriculteurs salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A2Z70;Techniciens et agents d'encadrement d'exploitations agricoles;A2Z;Techniciens et cadres de l'agriculture;A;Agriculture, marine, pêche
A2Z90;Ingénieurs, cadres techniques de l'agriculture;A2Z;Techniciens et cadres de l'agriculture;A;Agriculture, marine, pêche
A3Z00;Marins, pêcheurs, aquaculteurs indépendants;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z40;Pêcheurs, aquaculteurs salariés;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z41;Marins salariés;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z90;Cadres et maîtres d'équipage de la marine;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
B0Z20;Ouvriers non qualifiés des travaux publics, du béton et de l'extraction;B0Z;Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B0Z21;Ouvriers non qualifiés du gros œuvre du bâtiment;B0Z;Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B1Z40;Ouvriers qualifiés des travaux publics, du béton et de l'extraction;B1Z;Ouvriers qualifiés des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B2Z40;Maçons;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z41;Professionnels du travail de la pierre et des matériaux associés;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z42;Charpentiers (métal);B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z43;Charpentiers (bois);B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z44;Couvreurs;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B3Z20;Ouvriers non qualifiés du second œuvre du bâtiment;B3Z;Ouvriers non qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B4Z41;Plombiers, chauffagistes;B4Z;Ouvriers qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
