REG,DEP,DEPCOM_ARM,LIBCOM,densite,nb_ls,tx_vac,tx_mob
84,01,01001,L'Abergement-Clémenciat,9.38,32,3.125,9.0909
84,01,01004,Ambérieu-en-Bugey,30.42,2109,4.7952,10.1169
84,01,01005,Ambérieux-en-Dombes,14.22,113,2.7273,14.8515
84,01,01007,Ambronay,10.75,129,2.439,12.1951
84,01,01008,Ambutrix,5.12,17,5.8824,5.8824
84,01,01010,Anglefort,9.12,44,0.0,15.9091
84,01,01011,Apremont,15.04,24,0.0,13.0435
84,01,01012,Aranc,6.59,10,10.0,20.0
84,01,01013,Arandas,2.68,2,0.0,50.0
84,01,01014,Arbent,27.22,379,3.794,8.4011
84,01,01015,Arboys en Bugey,0.66,2,0.0,50.0
84,01,01016,Arbigny,2.71,5,0.0,0.0
84,01,01017,Argis,2.51,5,0.0,0.0
84,01,01021,Ars-sur-Formans,7.53,43,0.0,7.1429
84,01,01022,Artemare,15.31,89,0.0,10.4651
84,01,01024,Attignat,11.47,162,1.8987,8.8608
84,01,01025,Bâgé-Dommartin,5.13,83,0.0,7.7922
84,01,01026,Bâgé-le-Châtel,12.41,54,0.0,18.8679
84,01,01027,Balan,12.1,91,4.4944,13.4831
84,01,01028,Baneins,2.43,6,0.0,16.6667
84,01,01029,Beaupont,12.72,34,0.0,14.7059
84,01,01030,Beauregard,21.02,80,0.0,16.8831
84,01,01031,Bellignat,45.89,769,3.9106,12.8492
84,01,01032,Béligneux,26.44,329,1.9293,13.5048
84,01,01033,Valserhône,29.3,2101,2.3894,7.0158
84,01,01034,Belley,25.95,1125,3.4483,9.6743
84,01,01035,Belleydoux,4.11,6,0.0,0.0
84,01,01036,Valromey-sur-Séran,4.59,29,6.8966,6.8966
84,01,01038,Bény,7.3,24,0.0,8.3333
84,01,01041,Bettant,6.59,22,9.0909,9.0909
84,01,01042,Bey,11.25,14,0.0,7.1429
84,01,01043,Beynost,15.23,300,0.3344,8.9431
84,01,01044,Billiat,11.5,31,0.0,10.3448
84,01,01046,Biziat,3.36,12,0.0,18.1818
84,01,01047,Blyes,11.03,54,1.8519,16.6667
84,01,01049,La Boisse,10.39,134,0.7519,6.7669
84,01,01051,Bolozon,4.52,2,0.0,0.0
84,01,01052,Bouligneux,1.45,2,0.0,0.0
84,01,01053,Bourg-en-Bresse,34.66,7211,1.9027,8.9889
84,01,01054,Bourg-Saint-Christophe,2.23,13,0.0,15.3846
84,01,01057,Boz,2.87,6,0.0,20.0
84,01,01058,Brégnier-Cordon,5.22,18,0.0,0.0
84,01,01060,Brénod,5.18,13,0.0,7.6923
84,01,01062,Bressolles,3.66,14,0.0,0.0
84,01,01063,Brion,14.06,35,2.9412,24.2424
84,01,01064,Briord,12.89,61,0.0,8.7719
84,01,01065,Buellas,15.53,123,0.0,10.6557
84,01,01067,Ceignes,11.13,12,0.0,16.6667
84,01,01068,Cerdon,6.94,23,4.3478,8.6957
84,01,01069,Certines,17.6,118,2.5862,13.7931
84,01,01071,Cessy,17.72,396,1.2821,6.5445
84,01,01072,Ceyzériat,13.08,180,0.0,10.8571
84,01,01073,Ceyzérieu,0.87,4,0.0,25.0
84,01,01074,Chalamont,17.72,193,0.5988,13.1737
84,01,01075,Chaleins,9.48,54,0.0,8.0
84,01,01076,Chaley,10.53,8,0.0,25.0
84,01,01077,Challes-la-Montagne,4.17,4,0.0,50.0
84,01,01078,Challex,6.71,43,10.0,2.7027
84,01,01079,Champagne-en-Valromey,17.21,54,2.1277,17.0213
84,01,01080,Champdor-Corcelles,12.38,36,2.8571,14.2857
84,01,01081,Champfromier,18.32,64,17.2414,10.3448
84,01,01082,Chanay,8.15,19,5.2632,15.7895
84,01,01083,Chaneins,9.19,36,0.0,2.7778
84,01,01084,Chanoz-Châtenay,3.7,13,0.0,0.0
84,01,01087,Charix,2.45,3,0.0,0.0
84,01,01088,Charnoz-sur-Ain,4.32,16,0.0,6.25
84,01,01089,Château-Gaillard,12.76,112,0.8929,8.4337
84,01,01090,Châtenay,5.81,9,0.0,11.1111
84,01,01092,Châtillon-la-Palud,4.87,32,0.0,3.125
84,01,01093,Châtillon-sur-Chalaronne,22.55,539,1.3233,10.7438
84,01,01094,Chavannes-sur-Reyssouze,4.86,16,6.25,18.75
