codgeo,YEAR,Demandeurs_Emploi
14726,janvier_2020,530
14228,janvier_2020,370
14167,janvier_2020,980
14762,janvier_2020,1540
14076,janvier_2020,620
14333,janvier_2020,1000
14258,janvier_2020,930
14098,janvier_2020,380
15014,janvier_2020,2240
15187,janvier_2020,500
15012,janvier_2020,330
16015,janvier_2020,6190
16102,janvier_2020,2230
16154,janvier_2020,610
16166,janvier_2020,490
16113,janvier_2020,860
16078,janvier_2020,340
16291,janvier_2020,660
16385,janvier_2020,660
16358,janvier_2020,610
16374,janvier_2020,1320
17300,janvier_2020,9640
17415,janvier_2020,2770
17333,janvier_2020,520
17264,janvier_2020,490
17414,janvier_2020,410
17291,janvier_2020,570
17142,janvier_2020,450
17200,janvier_2020,550
17274,janvier_2020,760
17306,janvier_2020,2140
17407,janvier_2020,430
17299,janvier_2020,3140
17385,janvier_2020,850
17219,janvier_2020,660
17094,janvier_2020,530
17347,janvier_2020,930
17449,janvier_2020,890
17028,janvier_2020,1100
17421,janvier_2020,710
17434,janvier_2020,680
18033,janvier_2020,7450
18279,janvier_2020,3370
18197,janvier_2020,960
18205,janvier_2020,710
18213,janvier_2020,460
18207,janvier_2020,590
18141,janvier_2020,570
18015,janvier_2020,500
19272,janvier_2020,1440
19031,janvier_2020,5310
19275,janvier_2020,790
19073,janvier_2020,320
19123,janvier_2020,660
19123,janvier_2020,660
2A004,janvier_2020,4860
2A247,janvier_2020,1860
2B033,janvier_2020,2860
2B096,janvier_2020,410
2B050,janvier_2020,920
2B042,janvier_2020,760
2B148,janvier_2020,640
2B120,janvier_2020,410
2B037,janvier_2020,560
21231,janvier_2020,16240
21292,janvier_2020,470
21278,janvier_2020,540
21038,janvier_2020,710
21390,janvier_2020,390
21054,janvier_2020,1910
21617,janvier_2020,1080
21166,janvier_2020,1900
21154,janvier_2020,540
21425,janvier_2020,540
21355,janvier_2020,950
21464,janvier_2020,410
21171,janvier_2020,1010
21515,janvier_2020,980
21540,janvier_2020,540
22278,janvier_2020,5890
22050,janvier_2020,1760
22389,janvier_2020,470
22187,janvier_2020,1240
22070,janvier_2020,1040
22113,janvier_2020,1960
22046,janvier_2020,550
22106,janvier_2020,700
22093,janvier_2020,1410
22215,janvier_2020,1060
22162,janvier_2020,680
22251,janvier_2020,550
22136,janvier_2020,990
22055,janvier_2020,570
22055,janvier_2020,570
22168,janvier_2020,580
22360,janvier_2020,680
22176,janvier_2020,560
22225,janvier_2020,440
23096,janvier_2020,1300
23176,janvier_2020,440
24322,janvier_2020,4010
24037,janvier_2020,3480
24372,janvier_2020,500
24547,janvier_2020,710
24520,janvier_2020,1180
24138,janvier_2020,790
24294,janvier_2020,590
24557,janvier_2020,570
24053,janvier_2020,850
25056,janvier_2020,12880
25047,janvier_2020,420
25321,janvier_2020,400
25284,janvier_2020,700
25057,janvier_2020,710
25388,janvier_2020,3130
25539,janvier_2020,540
25462,janvier_2020,1860
25031,janvier_2020,1920
25527,janvier_2020,350
25411,janvier_2020,660
25580,janvier_2020,1250
25578,janvier_2020,340
26362,janvier_2020,8740
26281,janvier_2020,4160
26220,janvier_2020,850
26064,janvier_2020,630
26324,janvier_2020,940
26325,janvier_2020,810
26002,janvier_2020,810
26113,janvier_2020,680
26198,janvier_2020,4960
26165,janvier_2020,910
26166,janvier_2020,730
26116,janvier_2020,700
26088,janvier_2020,490
26057,janvier_2020,1240
26313,janvier_2020,510
26108,janvier_2020,1360
26058,janvier_2020,2300
26347,janvier_2020,730
26235,janvier_2020,1790
26124,janvier_2020,420
26252,janvier_2020,1010
27229,janvier_2020,6800
27701,janvier_2020,1830
27448,janvier_2020,450
27679,janvier_2020,830
27284,janvier_2020,1370
27602,janvier_2020,430
27165,janvier_2020,540
27681,janvier_2020,2890
27198,janvier_2020,500
27056,janvier_2020,1110
27375,janvier_2020,2480
27467,janvier_2020,1360
27275,janvier_2020,950
27213,janvier_2020,420
27016,janvier_2020,880
27022,janvier_2020,590
28085,janvier_2020,4330
28134,janvier_2020,4650
28218,janvier_2020,2170
28088,janvier_2020,1410
28103,janvier_2020,420
28140,janvier_2020,560
28229,janvier_2020,1350
28209,janvier_2020,370
28280,janvier_2020,1090
28404,janvier_2020,1630
28220,janvier_2020,520
28015,janvier_2020,480
28015,janvier_2020,480
28015,janvier_2020,480
29232,janvier_2020,6850
29046,janvier_2020,1770
29220,janvier_2020,840
29241,janvier_2020,710
29026,janvier_2020,500
29042,janvier_2020,720
29058,janvier_2020,770
29019,janvier_2020,15710
29259,janvier_2020,670
29124,janvier_2020,650
29024,janvier_2020,580
29212,janvier_2020,890
29212,janvier_2020,320
29130,janvier_2020,320
29260,janvier_2020,570
29233,janvier_2020,1230
29150,janvier_2020,570
29004,janvier_2020,550
29274,janvier_2020,460
29105,janvier_2020,800
29189,janvier_2020,1010
29235,janvier_2020,890
29075,janvier_2020,1080
29051,janvier_2020,600
29020,janvier_2020,490
29151,janvier_2020,1880
29199,janvier_2020,390
29174,janvier_2020,500
29158,janvier_2020,500
29103,janvier_2020,1460
29069,janvier_2020,530
29178,janvier_2020,470
29061,janvier_2020,460
29160,janvier_2020,580
29117,janvier_2020,460
29195,janvier_2020,620
29039,janvier_2020,2030
29293,janvier_2020,540
30189,janvier_2020,19980
30007,janvier_2020,5820
30132,janvier_2020,750
30034,janvier_2020,780
30125,janvier_2020,500
30155,janvier_2020,680
30202,janvier_2020,1300
30011,janvier_2020,730
30221,janvier_2020,630
30028,janvier_2020,2390
30003,janvier_2020,1180
30047,janvier_2020,540
30133,janvier_2020,1350
30321,janvier_2020,710
30141,janvier_2020,550
30141,janvier_2020,550
30032,janvier_2020,3260
30344,janvier_2020,540
30156,janvier_2020,860
30294,janvier_2020,480
30243,janvier_2020,800
30351,janvier_2020,1020
30062,janvier_2020,560
30006,janvier_2020,630
30169,janvier_2020,640
30341,janvier_2020,1670
30033,janvier_2020,610
30217,janvier_2020,660
30334,janvier_2020,930
30258,janvier_2020,2430
31555,janvier_2020,65020
31433,janvier_2020,930
31458,janvier_2020,450
31445,janvier_2020,370
31044,janvier_2020,1440
31022,janvier_2020,1080
31467,janvier_2020,640
31282,janvier_2020,960
31091,janvier_2020,580
31182,janvier_2020,560
31557,janvier_2020,2320
31033,janvier_2020,1110
31561,janvier_2020,930
31488,janvier_2020,980
31451,janvier_2020,940
31157,janvier_2020,2030
31588,janvier_2020,960
31203,janvier_2020,830
31582,janvier_2020,390
31113,janvier_2020,1300
31232,janvier_2020,880
31341,janvier_2020,570
31584,janvier_2020,640
31107,janvier_2020,580
31188,janvier_2020,340
31499,janvier_2020,880
31187,janvier_2020,1020
31291,janvier_2020,860
31446,janvier_2020,1520
31547,janvier_2020,830
31395,janvier_2020,2940
31165,janvier_2020,550
31118,janvier_2020,610
31202,janvier_2020,510
31506,janvier_2020,1080
31150,janvier_2020,760
31069,janvier_2020,2620
31056,janvier_2020,710
31351,janvier_2020,590
31169,janvier_2020,540
31149,janvier_2020,3760
31116,janvier_2020,1140
31490,janvier_2020,710
31483,janvier_2020,1320
31417,janvier_2020,550
31424,janvier_2020,1620
31032,janvier_2020,560
31248,janvier_2020,510
31526,janvier_2020,690
32013,janvier_2020,2140
32107,janvier_2020,750
32132,janvier_2020,590
32160,janvier_2020,670
33063,janvier_2020,33250
33069,janvier_2020,2220
33424,janvier_2020,470
33029,janvier_2020,410
33009,janvier_2020,980
33273,janvier_2020,500
33422,janvier_2020,650
33039,janvier_2020,3680
33229,janvier_2020,630
33550,janvier_2020,3920
33080,janvier_2020,570
33119,janvier_2020,3720
33449,janvier_2020,2570
33376,janvier_2020,490
33192,janvier_2020,2110
33200,janvier_2020,1110
33227,janvier_2020,1200
33138,janvier_2020,990
33366,janvier_2020,1320
33314,janvier_2020,780
33529,janvier_2020,2930
33167,janvier_2020,2300
33256,janvier_2020,380
33056,janvier_2020,1440
33322,janvier_2020,480
33312,janvier_2020,800
33249,janvier_2020,3580
33519,janvier_2020,810
33162,janvier_2020,2460
33240,janvier_2020,780
33535,janvier_2020,350
33013,janvier_2020,850
33555,janvier_2020,410
33051,janvier_2020,1000
33284,janvier_2020,890
33058,janvier_2020,740
33522,janvier_2020,4170
33036,janvier_2020,440
33003,janvier_2020,1970
33433,janvier_2020,950
33207,janvier_2020,500
33199,janvier_2020,2120
33527,janvier_2020,890
33243,janvier_2020,3260
33005,janvier_2020,1110
33075,janvier_2020,1930
33032,janvier_2020,880
33096,janvier_2020,790
33397,janvier_2020,410
33318,janvier_2020,5550
33122,janvier_2020,1010
33090,janvier_2020,420
33214,janvier_2020,730
33281,janvier_2020,6960
33011,janvier_2020,590
33498,janvier_2020,670
33042,janvier_2020,580
33042,janvier_2020,580
33238,janvier_2020,830
33393,janvier_2020,590
33236,janvier_2020,890
33019,janvier_2020,910
34172,janvier_2020,41980
34108,janvier_2020,2810
34199,janvier_2020,1190
34154,janvier_2020,2110
34157,janvier_2020,1250
34114,janvier_2020,740
34058,janvier_2020,600
34057,janvier_2020,2680
34301,janvier_2020,6170
34192,janvier_2020,1070
34344,janvier_2020,1580
34300,janvier_2020,590
34003,janvier_2020,5150
34150,janvier_2020,1120
34069,janvier_2020,620
34145,janvier_2020,4190
34298,janvier_2020,580
34299,janvier_2020,940
34270,janvier_2020,1170
34332,janvier_2020,940
34198,janvier_2020,920
34032,janvier_2020,11600
34101,janvier_2020,570
34023,janvier_2020,750
34031,janvier_2020,680
34213,janvier_2020,650
34202,janvier_2020,780
34151,janvier_2020,960
34028,janvier_2020,750
34088,janvier_2020,720
34022,janvier_2020,750
34259,janvier_2020,620
34095,janvier_2020,690
34142,janvier_2020,1170
34239,janvier_2020,770
34217,janvier_2020,530
34327,janvier_2020,670
34337,janvier_2020,980
34113,janvier_2020,640
34116,janvier_2020,1000
34079,janvier_2020,1410
34077,janvier_2020,430
34120,janvier_2020,580
34090,janvier_2020,880
34129,janvier_2020,1780
34247,janvier_2020,320
34255,janvier_2020,680
34123,janvier_2020,1460
35238,janvier_2020,25170
35095,janvier_2020,510
35066,janvier_2020,780
35353,janvier_2020,560
35055,janvier_2020,980
35281,janvier_2020,1620
35136,janvier_2020,540
35188,janvier_2020,440
35047,janvier_2020,1550
35068,janvier_2020,540
35206,janvier_2020,640
35206,janvier_2020,640
35208,janvier_2020,450
35334,janvier_2020,570
35049,janvier_2020,480
35085,janvier_2020,510
35115,janvier_2020,2150
35037,janvier_2020,490
35196,janvier_2020,590
35152,janvier_2020,500
35184,janvier_2020,440
35288,janvier_2020,4790
35069,janvier_2020,680
35257,janvier_2020,330
35012,janvier_2020,530
35176,janvier_2020,630
35176,janvier_2020,630
35176,janvier_2020,630
35360,janvier_2020,1770
35051,janvier_2020,1190
35177,janvier_2020,340
35173,janvier_2020,520
35207,janvier_2020,400
35126,janvier_2020,680
35275,janvier_2020,450
35236,janvier_2020,970
35240,janvier_2020,830
35001,janvier_2020,490
35228,janvier_2020,600
35210,janvier_2020,850
35278,janvier_2020,700
35352,janvier_2020,610
35093,janvier_2020,890
35024,janvier_2020,940
35120,janvier_2020,390
35139,janvier_2020,310
36044,janvier_2020,5480
36088,janvier_2020,1210
36063,janvier_2020,740
36006,janvier_2020,480
36018,janvier_2020,470
36159,janvier_2020,350
37261,janvier_2020,17260
37063,janvier_2020,580
37027,janvier_2020,470
37050,janvier_2020,1080
37109,janvier_2020,710
37139,janvier_2020,380
37266,janvier_2020,440
37159,janvier_2020,530
37156,janvier_2020,780
37122,janvier_2020,4250
37104,janvier_2020,430
37003,janvier_2020,1590
37072,janvier_2020,850
37018,janvier_2020,520
37195,janvier_2020,1180
37214,janvier_2020,1400
37208,janvier_2020,970
37132,janvier_2020,660
37233,janvier_2020,2150
37273,janvier_2020,460
38185,janvier_2020,17060
38449,janvier_2020,480
38449,janvier_2020,480
38193,janvier_2020,1920
38553,janvier_2020,2500
38509,janvier_2020,850
38382,janvier_2020,1170
38151,janvier_2020,4030
38337,janvier_2020,510
38344,janvier_2020,790
38416,janvier_2020,900
38485,janvier_2020,910
38486,janvier_2020,460
38140,janvier_2020,490
38547,janvier_2020,490
38544,janvier_2020,3140
38517,janvier_2020,640
38562,janvier_2020,690
38507,janvier_2020,590
38507,janvier_2020,590
38316,janvier_2020,630
38097,janvier_2020,430
38085,janvier_2020,840
38085,janvier_2020,840
38229,janvier_2020,1070
38130,janvier_2020,500
38034,janvier_2020,540
38011,janvier_2020,270
38557,janvier_2020,270
38537,janvier_2020,690
38053,janvier_2020,3210
38053,janvier_2020,3210
38158,janvier_2020,730
38397,janvier_2020,330
38249,janvier_2020,290
38565,janvier_2020,620
38269,janvier_2020,390
38474,janvier_2020,800
38421,janvier_2020,3170
38529,janvier_2020,330
38422,janvier_2020,330
38150,janvier_2020,460
38538,janvier_2020,290
38239,janvier_2020,580
38545,janvier_2020,560
38001,janvier_2020,530
38001,janvier_2020,530
38563,janvier_2020,1980
38133,janvier_2020,290
38314,janvier_2020,660
38298,janvier_2020,850
38425,janvier_2020,580
38169,janvier_2020,2530
38179,janvier_2020,480
38022,janvier_2020,680
38111,janvier_2020,470
38087,janvier_2020,510
38516,janvier_2020,370
38524,janvier_2020,480
38318,janvier_2020,550
38317,janvier_2020,1150
38423,janvier_2020,490
39300,janvier_2020,1790
39198,janvier_2020,2300
39478,janvier_2020,900
39097,janvier_2020,680
39368,janvier_2020,520
40192,janvier_2020,3120
40088,janvier_2020,3040
40197,janvier_2020,450
40197,janvier_2020,450
40065,janvier_2020,1320
40310,janvier_2020,900
40217,janvier_2020,770
40184,janvier_2020,930
40312,janvier_2020,1350
40284,janvier_2020,930
40281,janvier_2020,910
40273,janvier_2020,520
40209,janvier_2020,560
40282,janvier_2020,410
40133,janvier_2020,780
40046,janvier_2020,1770
40001,janvier_2020,580
40279,janvier_2020,1500
41018,janvier_2020,6000
41269,janvier_2020,1760
41194,janvier_2020,1850
41232,janvier_2020,440
41295,janvier_2020,570
41136,janvier_2020,540
41059,janvier_2020,600
42218,janvier_2020,21460
42094,janvier_2020,660
42071,janvier_2020,740
42059,janvier_2020,430
42183,janvier_2020,1050
42184,janvier_2020,1030
42005,janvier_2020,950
42279,janvier_2020,980
42149,janvier_2020,390
42189,janvier_2020,830
42316,janvier_2020,810
42275,janvier_2020,460
42302,janvier_2020,480
42332,janvier_2020,350
42187,janvier_2020,4380
42127,janvier_2020,670
42103,janvier_2020,490
42222,janvier_2020,380
42323,janvier_2020,550
42305,janvier_2020,520
42330,janvier_2020,590
42207,janvier_2020,3880
42304,janvier_2020,590
42044,janvier_2020,1450
42223,janvier_2020,460
42147,janvier_2020,1560
42237,janvier_2020,560
42256,janvier_2020,350
42095,janvier_2020,2030
42186,janvier_2020,1650
43157,janvier_2020,2300
43040,janvier_2020,750
43012,janvier_2020,500
43137,janvier_2020,740
43268,janvier_2020,590
43224,janvier_2020,580
44109,janvier_2020,37840
44036,janvier_2020,1110
44009,janvier_2020,640
44071,janvier_2020,380
44151,janvier_2020,470
44041,janvier_2020,450
44066,janvier_2020,420
44209,janvier_2020,690
44215,janvier_2020,1980
44015,janvier_2020,850
44003,janvier_2020,1070
44129,janvier_2020,930
44064,janvier_2020,330
44043,janvier_2020,670
44131,janvier_2020,1560
44047,janvier_2020,1780
44190,janvier_2020,2420
44201,janvier_2020,500
44035,janvier_2020,1420
44154,janvier_2020,1140
44195,janvier_2020,680
44087,janvier_2020,860
44067,janvier_2020,470
44188,janvier_2020,740
44005,janvier_2020,580
44212,janvier_2020,730
44020,janvier_2020,1960
44069,janvier_2020,1430
44217,janvier_2020,370
44158,janvier_2020,530
44213,janvier_2020,670
44132,janvier_2020,1000
44110,janvier_2020,700
44143,janvier_2020,4790
44175,janvier_2020,360
44072,janvier_2020,670
44084,janvier_2020,630
44029,janvier_2020,510
44169,janvier_2020,550
44204,janvier_2020,860
44026,janvier_2020,1380
44052,janvier_2020,810
44055,janvier_2020,1430
